"Gene","Dsec_Mal_AS_R1","Dsec_Mal_AS_R2","Dsec_Mal_AS_R3","Dsec_Fem_AS_R1","Dsec_Fem_AS_R2","Dsec_Fem_AS_R3","Dsec_Mal_JP_R1","Dsec_Mal_JP_R2","Dsec_Mal_JP_R3","Dsec_Fem_JP_R1","Dsec_Fem_JP_R2","Dsec_Fem_JP_R3","Dsim_Mal_JP_R1","Dsim_Mal_JP_R2","Dsim_Mal_JP_R3","Dsim_Fem_JP_R1","Dsim_Fem_JP_R2","Dsim_Fem_JP_R3","Dmel_Mal_AS_R1","Dmel_Fem_AS_R1"
"CG16717",13.0591251950758,12.5729503962173,13.6469971011726,11.1164291644274,12.8208020964173,12.6470511991212,13.1329566835836,13.0070462694864,10.4647468867641,10.6769524705696,10.9861327030728,10.4729918836014,9.23892316264125,8.45549000831943,7.73713792909428,8.6950094495263,8.29774077750232,8.16249437658323,16.2661404090004,14.6657643476158
"CG16718",8.37509450686178,8.52314808833426,8.69898643745854,8.20689348866536,7.98014517923833,7.86293760411352,10.273653527938,9.77692452589024,10.0784197120639,9.98742048838183,9.07551537671419,9.60396550719415,8.57030983100031,8.33378529066529,8.22536956384369,8.66309069966242,8.09348869682534,8.53445023350772,17.2118462467329,16.2004755340014
"CG16719",1.01395192877159,0.460700853667607,0.890676891272497,1.30242555669495,0.512761025724978,0.490230367960362,2.12448634442084,2.9944510266434,1.91783621191766,1.04607070247697,1.02798399463068,0.760139457563961,13.3350191828806,13.4058535904519,13.5823158607379,0.874614458961435,0.927771446679469,0.543388129089655,0.774650719924391,0.836583577079488
"CG16721",63.2179296117644,59.2989287331909,61.5657375906182,62.0388997810448,63.2837381270692,62.487237517779,76.4136626333639,76.6374098285873,75.5136064397309,84.7529044999223,85.9360515416848,87.039330926941,123.397085542523,118.134554155379,124.101604954404,146.047008465176,142.49733668021,140.42038213264,80.5296551954705,90.698364613489
"CG1673",1.28502774732355,1.61927825432994,1.61071386107439,1.28872803253762,1.53931989192204,1.43121835871213,4.322240641062,4.4876718689628,3.99707672882689,3.7118045788363,4.21699216018176,3.78066957811471,1.64327798395778,1.59087028753942,3.44494533520722,3.41748029314261,3.80320929240929,3.46038127426523,1.04491764063174,1.41079530505661
"CG16734",3.51964822750461,3.63971780355604,3.42481374205972,3.88298234173386,4.03331502888051,4.62955124380648,4.12334641985292,4.11532089639521,3.57163115614189,2.94111874289052,2.79815929305435,3.38326837897699,3.58071575933044,3.18269974881959,2.64662110047705,2.94830724029651,3.0804574876277,2.44636470324018,2.1030788392049,2.43347855442773
"CG16736",0,0.0856794952072585,0.0829328853161555,0.152727862943234,0.0819362335449219,0.0781733379776082,0.651872098710413,0.375914504029784,0.675251122159016,0.251840359088097,0.196317864779241,0,1.66831414694412,1.27845976073925,1.70425673962939,0.0518296171737372,0.220450046315477,0.157261068073021,0.202638384196604,0.224954685030107
"CG16739",6.69676613378679,6.52747600683581,6.31724421841667,4.50155990858107,4.00586915570242,5.61627096367601,8.41017965707573,10.3322910490289,9.39986068326828,5.42647691054569,4.21525467430344,4.97869335656464,26.5773086354045,26.3736279175387,28.471598727641,5.98062919005616,6.06845212670843,7.22111348058436,0.330188276309216,0.207613860188315
"CG1674",23.2060406506119,22.9802304481647,23.6169588141247,22.6957706495118,21.5130474933634,22.8764148900252,26.4332115078168,24.8954961543213,26.1108179714969,23.6376051965855,24.0458551101074,22.7421430737396,36.5419089143601,35.6819422170724,34.0838434933459,31.6769164784306,30.1286362263784,31.2124836760754,31.2411947530379,27.2916721649734
"CG16741",0,0,0,0,0.614939449247769,0,1.83523638733666,1.95179738740516,1.89224296044258,0.553918320006286,0.573995075204978,0,12.6960223270954,13.8626070328407,6.16820935002948,0.872896383394782,0,0,0,0
