"Gene","Dsec_Mal_AS_R1","Dsec_Mal_AS_R2","Dsec_Mal_AS_R3","Dsec_Fem_AS_R1","Dsec_Fem_AS_R2","Dsec_Fem_AS_R3","Dsec_Mal_JP_R1","Dsec_Mal_JP_R2","Dsec_Mal_JP_R3","Dsec_Fem_JP_R1","Dsec_Fem_JP_R2","Dsec_Fem_JP_R3","Dsim_Mal_JP_R1","Dsim_Mal_JP_R2","Dsim_Mal_JP_R3","Dsim_Fem_JP_R1","Dsim_Fem_JP_R2","Dsim_Fem_JP_R3","Dmel_Mal_AS_R1","Dmel_Fem_AS_R1"
"CG6841",5.79733,5.57792,5.21813,4.48752,4.77511,4.70168,5.94047,5.80047,5.99074,5.8239,5.47424,5.42121,5.92186,5.7419,5.96493,5.85546,5.99096,6.26369,5.36633,5.02082
"CG6843",4.47749,4.44181,4.39403,4.55231,4.54753,4.79493,6.4671,6.02981,6.28221,7.05154,6.47105,6.67719,8.32631,7.13833,8.34439,7.93811,8.69506,8.03586,8.21548,7.90096
"CG6845",2.29841,2.79674,2.53581,2.32152,2.00508,2.45798,3.86648,3.84983,4.40136,3.46162,3.48076,3.16442,0.698473,0.511235,0.651366,0.252757,0.296137,0.188411,1.52758,1.65383
"CG6847",2.65071,2.31757,2.79717,1.98929,2.1731,2.05747,3.61587,3.67449,3.74863,3.88319,4.12048,4.37371,3.00455,2.68498,2.49903,3.06415,2.86992,3.03612,4.26625,3.95809
"CG6852",168.892,165.275,168.935,161.757,155.912,155.358,221.804,194.443,210.899,235.968,224.226,211.793,257.503,244.499,227.058,262.906,248.141,268.885,133.518,123.174
"CG6865",0,0.0580621,0,0,0.0524013,0.0500998,0.16038,0.0863906,0.0413579,0.170748,0.059247,0.0571196,0.0719368,0.307404,0.147115,0.208212,0.222598,0.106429,0.0127009,0.011394
"CG6867",15.0369,15.9467,16.1504,9.61757,9.66863,9.66572,19.9788,19.9431,19.4937,14.1393,15.5205,14.6473,25.4455,27.3767,26.369,20.6813,21.0753,20.4875,22.4927,16.9748
"CG6870",5.92282,4.78096,3.89657,3.03878,3.14066,5.40095,8.24231,8.6326,9.11233,9.87598,10.6662,12.4512,8.26705,9.56266,10.9604,11.7954,9.37977,9.47806,14.7937,15.8946
"CG6878",59.5463,62.8917,50.8341,70.0737,66.1951,71.0673,58.0343,70.5513,69.7025,78.9999,53.4531,62.7471,90.5863,100.21,137.42,126.047,132.754,126.921,84.0574,76.9833
"CG6885",0,0,0,0.0746736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130734,0.0646486
"CG6888",0,0,0,0,0,0,0.702408,0.984914,0.651898,0,0.103008,0,3.35595,2.34741,3.03728,0.188982,0,0,0.0415616,0.0371712
"CG6891",16.8463,19.6769,19.6894,16.6889,16.0926,14.538,44.768,42.6541,42.8665,52.7369,50.7386,48.2567,141.948,132.574,136.027,147.755,157.579,160.536,50.5718,54.9683
"CG6893",0,0,0,0,0,0.0574912,0.281475,0.151928,0.338788,0,0,0,1.67854,2.08201,2.0803,0,0,0.131259,0.0114783,0.0208482
"CG6901",0.10147,0.0363452,0.0696387,0.151048,0.0655182,0.0940803,0.175259,0.189254,0.20656,0.034184,0.177438,0.0685079,0.185509,0.198693,0.142372,0.132439,0.0354762,0.0677266,0.0184348,0.0166466
"CG6903",17.0634,16.5829,16.576,14.0093,13.9612,13.7221,25.1994,24.2872,26.1201,24.47,24.2526,22.7584,19.4064,20.0882,18.0624,21.1387,18.6257,19.6087,23.7287,21.4729
"CG6904",24.4256,28.4998,27.6131,25.8811,25.706,26.3477,32.2705,33.6657,33.9039,36.0574,38.659,35.4476,45.3159,46.7305,47.0357,44.8935,46.5557,45.9785,42.5633,44.2532
"CG6905",2.5469,2.56847,2.73977,2.09821,1.85572,2.05987,3.11325,2.96248,3.13456,2.40622,2.88209,3.16791,3.73589,3.63254,3.67245,3.5307,3.92622,3.81957,4.74298,4.87459
"CG6907",8.90508,8.12287,7.94068,8.61259,8.16655,7.75803,10.5016,9.74406,10.0371,9.236,10.2532,9.78237,18.8573,21.3782,24.1371,13.9651,15.4107,17.2856,11.4985,11.4046
"CG6910",22.846,18.8168,19.9423,24.3414,21.5364,22.1001,20.9964,22.4048,22.7709,24.7257,24.6055,25.843,18.5861,18.9944,17.6136,20.2257,19.2742,19.2808,19.5867,23.1266
"CG6914",0,0,0,0,0,0,0.728592,0.260967,0.874522,0.17928,0.185879,0,4.25732,2.72172,2.82553,0.156302,0.166591,0,0.0177149,0
"CG6927",0.108327,0.0873019,0.0278553,0.0478296,0.103682,0.0248132,0.0819274,0.0662417,0.021119,0.0283258,0.0588949,0,0.0376983,0,0.269836,0.0537614,0.0288035,0.0825013,0.150679,0.303442
"CG6928",60.5309,63.7575,62.9422,54.6807,53.7915,53.9618,89.6695,89.7119,91.0255,90.7878,93.427,92.865,41.9383,43.4015,41.9707,51.9974,52.2061,54.5396,54.9382,52.6457
"CG6931",6.4138,6.1842,7.39383,4.89778,5.31628,5.18854,8.24611,8.81258,8.30201,9.17033,7.79602,7.96603,9.25985,10.2321,10.0127,7.15552,7.60233,7.41927,4.36564,3.33679
"CG6933",6.95679,6.53636,6.25198,3.09204,3.02429,2.69546,3.87207,4.36052,3.63405,2.80508,1.85753,1.79025,4.51663,4.41373,4.09533,2.43153,2.20145,1.29184,0.0302003,0
"CG6937",5.85272,5.71337,5.58568,5.61044,5.78588,5.15041,6.74469,6.64619,6.1716,6.4927,6.46699,6.11572,9.08217,8.52505,9.32924,9.60433,8.92629,9.86457,6.74102,6.82867
"CG6938",9.05953,9.0462,8.77626,6.25641,5.52029,5.33427,5.3636,5.55823,6.72198,5.30462,5.00983,5.27757,22.8835,23.545,22.5048,24.8518,25.4306,26.174,26.2698,25.8795
"CG6945",3.08591,3.23434,3.07683,2.24933,2.91046,2.8587,4.68868,4.62154,4.66689,4.83186,4.77389,4.98896,4.83851,5.45629,5.38293,4.74325,5.15061,4.7941,3.51492,3.42159
"CG6950",38.0862,36.324,37.0691,36.4981,35.8576,37.8371,45.9281,47.4666,48.0872,47.2124,50.7262,46.8924,57.1387,53.8785,53.818,57.2462,55.7101,52.5459,40.581,38.9896
"CG6951",14.3003,15.6157,16.4467,16.6414,14.3389,14.9869,19.6569,18.8017,21.4778,19.585,20.9782,22.6998,40.1563,38.1353,40.0741,38.8684,36.9769,40.4022,5.0905,4.95308
"CG6954",4.86601,4.80493,4.96241,3.86971,3.86882,3.74085,4.88595,5.17061,4.87789,4.31245,3.93203,4.51761,4.87068,5.76226,6.01919,6.26582,6.54126,6.28522,20.1684,18.6943
"CG6959",8.94088,8.42844,8.07937,8.94186,8.65248,8.89239,12.4501,10.5162,11.9917,11.4237,13.0023,11.7272,11.2748,12.2078,12.8733,11.8647,12.219,12.3138,14.5294,14.9859
