gene_name,Dmel,Dsec,Dsim,Dmel_m,Dmel_f,Dsec_m1,Dsec_m2,Dsec_m3,Dsec_f1,Dsec_f2,Dsec_f3,Dsec_m4,Dsec_m5,Dsec_m6,Dsec_f4,Dsec_f5,Dsec_f6,Dsim_m1,Dsim_m2,Dsim_m3,Dsim_f1,Dsim_f2,Dsim_f3
Sse,FBgn0035627,FBgn0168834,FBgn0184902,0.100218,0.138379,0.314124,0.145043,0.0463063,0.158832,0.194631,0.206602,0.451393,0.470134,0.448895,0.531788,0.385185,0.649832,0.52267,0.528308,0.347178,0.378895,0.287091,0.593882
Ssk,FBgn0036945,FBgn0177128,FBgn0186530,0.663311,0.758916,0.792477,1.56086,1.4947,1.87827,1.27329,0.974855,7.7678,6.504,7.40687,15.0514,14.1795,12.7136,24.9246,20.0445,23.4905,14.6813,14.4621,15.5406
Ssl,FBgn0015300,FBgn0166767,FBgn0195843,0.201452,0.212038,0,0,0.0770763,0,0,0,0.435565,0.234471,0.224475,0,0,0.161093,0.696686,1.17045,0.407322,0,0,0
Ssl1,FBgn0037202,FBgn0177347,FBgn0186730,4.49654,3.83279,3.23991,3.18609,3.22317,3.67844,3.62884,3.3207,4.4385,4.89177,4.6548,4.72328,4.86675,4.47451,8.72248,9.45736,8.09363,8.50581,8.49376,9.43028
Ssl2,FBgn0041780,FBgn0167207,FBgn0067531,1.31169,1.65174,0.112968,0.0405567,0.0388418,0.100339,0.0363735,0.0347667,0.251961,0.0302876,0.08668,0.0386865,0.080552,0.0388564,0.20806,0.0557804,0.213232,0.49564,0.449598,0.233944
Ssrp,FBgn0010278,FBgn0170430,FBgn0196325,7.77998,7.40608,4.22545,3.88119,4.07555,4.02377,4.07435,4.0862,5.43311,5.23232,5.8292,5.54325,5.76946,5.23981,7.28838,6.49241,7.92892,6.45709,6.87835,6.88359
Ssu72,FBgn0031054,FBgn0177849,FBgn0189008,13.0536,12.2671,11.6036,12.7172,13.325,12.7758,11.9137,11.2428,14.3767,14.7502,16.1346,16.1256,16.5463,14.9253,18.5026,18.2984,17.2741,16.0803,16.8747,14.8325
St1,FBgn0034887,FBgn0170950,FBgn0183521,0.797548,0.944418,1.4887,1.26508,1.25713,0.886099,0.956726,0.597886,2.66194,2.67636,2.59745,1.84228,2.00465,1.79182,11.1327,11.3583,10.749,10.5253,11.3631,11.0719
St2,FBgn0037665,FBgn0178652,FBgn0190120,0.303034,0.169764,0,0.112362,0,0,0,0.0483184,0,0.0423529,0.0404804,0.386016,0.229001,0.717735,0,0.076593,0,0.154358,0.330016,0.210119
St4,FBgn0033887,FBgn0175124,FBgn0197010,0.0477669,0.121174,1.15874,1.38856,0.962901,1.22444,1.11429,1.35249,1.95648,2.11258,1.77859,1.69989,2.19734,1.75109,1.4276199999999999,1.52785,1.39894,1.19885,1.79015,1.40251
Stam,FBgn0027363,FBgn0173663,FBgn0195113,34.4816,32.924,17.8445,19.0244,20.0002,17.5212,16.9688,18.0124,25.7734,26.1322,25.5094,26.1318,27.1504,28.3891,33.0057,34.6265,33.8683,33.462,36.6149,35.8665
